utc,tight,neighbors,new_orbits,total_orbits,expanded,skipped
2026-09-10T12:13:17Z,30,30,7,18992,1628,1
2026-09-10T12:13:17Z,30,30,9,19001,1629,1
2026-09-10T12:13:17Z,30,30,10,19011,1630,1
2026-09-10T12:13:17Z,30,30,7,19018,1631,1
2026-09-10T12:13:17Z,30,30,8,19026,1632,1
2026-09-10T12:13:17Z,30,30,6,19032,1633,1
2026-09-10T12:13:17Z,30,30,8,19040,1634,1
2026-09-10T12:13:17Z,30,30,5,19045,1635,1
2026-09-10T12:13:18Z,30,30,5,19050,1636,1
2026-09-10T12:13:18Z,30,30,5,19055,1637,1
2026-09-10T12:13:18Z,30,30,6,19061,1638,1
2026-09-10T12:13:18Z,30,30,4,19065,1639,1
2026-09-10T12:13:18Z,30,30,2,19067,1640,1
2026-09-10T12:13:18Z,30,30,5,19072,1641,1
2026-09-10T12:13:18Z,30,30,8,19080,1642,1
2026-09-10T12:13:18Z,30,30,3,19083,1643,1
2026-09-10T12:13:18Z,30,30,8,19091,1644,1
2026-09-10T12:13:18Z,30,30,9,19100,1645,1
2026-09-10T12:13:18Z,30,30,8,19108,1646,1
2026-09-10T12:13:18Z,30,30,3,19111,1647,1
2026-09-10T12:13:18Z,30,30,5,19116,1648,1
2026-09-10T12:13:18Z,30,30,6,19122,1649,1
2026-09-10T12:13:18Z,30,30,6,19128,1650,1
2026-09-10T12:13:18Z,30,30,5,19133,1651,1
2026-09-10T12:13:18Z,30,30,6,19139,1652,1
2026-09-10T12:13:18Z,30,30,4,19143,1653,1
2026-09-10T12:13:18Z,30,30,7,19150,1654,1
2026-09-10T12:13:18Z,30,30,12,19162,1655,1
2026-09-10T12:13:18Z,30,30,2,19164,1656,1
2026-09-10T12:13:18Z,30,30,8,19172,1657,1
2026-09-10T12:13:18Z,30,30,9,19181,1658,1
2026-09-10T12:13:18Z,30,30,2,19183,1659,1
2026-09-10T12:13:19Z,30,30,15,19198,1660,1
2026-09-10T12:13:19Z,30,30,7,19205,1661,1
2026-09-10T12:13:19Z,30,30,10,19215,1662,1
2026-09-10T12:13:19Z,30,30,9,19224,1663,1
2026-09-10T12:13:19Z,30,30,5,19229,1664,1
2026-09-10T12:13:19Z,30,30,8,19237,1665,1
2026-09-10T12:13:19Z,30,30,4,19241,1666,1
2026-09-10T12:13:19Z,30,30,8,19249,1667,1
2026-09-10T12:13:19Z,30,30,4,19253,1668,1
2026-09-10T12:13:19Z,30,30,8,19261,1669,1
2026-09-10T12:13:19Z,30,30,3,19264,1670,1
2026-09-10T12:13:19Z,30,30,6,19270,1671,1
2026-09-10T12:13:19Z,30,30,4,19274,1672,1
2026-09-10T12:13:19Z,30,30,4,19278,1673,1
2026-09-10T12:13:19Z,30,30,4,19282,1674,1
2026-09-10T12:13:19Z,30,30,7,19289,1675,1
2026-09-10T12:13:19Z,30,30,8,19297,1676,1
2026-09-10T12:13:19Z,30,30,3,19300,1677,1
2026-09-10T12:13:19Z,30,30,3,19303,1678,1
2026-09-10T12:13:19Z,30,30,4,19307,1679,1
2026-09-10T12:13:19Z,30,30,8,19315,1680,1
2026-09-10T12:13:19Z,30,30,6,19321,1681,1
2026-09-10T12:13:20Z,30,30,10,19331,1682,1
2026-09-10T12:13:20Z,30,30,9,19340,1683,1
2026-09-10T12:13:20Z,30,30,5,19345,1684,1
2026-09-10T12:13:20Z,30,30,1,19346,1685,1
2026-09-10T12:13:20Z,30,30,1,19347,1686,1
2026-09-10T12:13:20Z,30,30,3,19350,1687,1
2026-09-10T12:13:20Z,30,30,5,19355,1688,1
2026-09-10T12:13:20Z,30,30,3,19358,1689,1
2026-09-10T12:13:20Z,30,30,6,19364,1690,1
2026-09-10T12:13:20Z,30,30,9,19373,1691,1
2026-09-10T12:13:20Z,30,30,6,19379,1692,1
2026-09-10T12:13:20Z,30,30,9,19388,1693,1
2026-09-10T12:13:20Z,30,30,5,19393,1694,1
2026-09-10T12:13:20Z,30,30,4,19397,1695,1
2026-09-10T12:13:20Z,30,30,5,19402,1696,1
2026-09-10T12:13:20Z,30,30,10,19412,1697,1
2026-09-10T12:13:20Z,30,30,4,19416,1698,1
2026-09-10T12:13:20Z,30,30,6,19422,1699,1
2026-09-10T12:13:20Z,30,30,4,19426,1700,1
2026-09-10T12:13:20Z,30,30,5,19431,1701,1
2026-09-10T12:13:20Z,30,30,3,19434,1702,1
2026-09-10T12:13:20Z,30,30,3,19437,1703,1
2026-09-10T12:13:20Z,30,30,2,19439,1704,1
2026-09-10T12:13:20Z,30,30,4,19443,1705,1
2026-09-10T12:13:21Z,30,30,8,19451,1706,1
2026-09-10T12:13:21Z,30,30,10,19461,1707,1
2026-09-10T12:13:21Z,30,30,4,19465,1708,1
2026-09-10T12:13:21Z,30,30,8,19473,1709,1
2026-09-10T12:13:21Z,30,30,1,19474,1710,1
2026-09-10T12:13:21Z,30,30,3,19477,1711,1
2026-09-10T12:13:21Z,30,30,8,19485,1712,1
2026-09-10T12:13:21Z,30,30,9,19494,1713,1
2026-09-10T12:13:21Z,30,30,6,19500,1714,1
2026-09-10T12:13:21Z,30,30,13,19513,1715,1
2026-09-10T12:13:21Z,30,30,4,19517,1716,1
2026-09-10T12:13:21Z,30,30,3,19520,1717,1
2026-09-10T12:13:21Z,30,30,13,19533,1718,1
2026-09-10T12:13:21Z,30,30,8,19541,1719,1
2026-09-10T12:13:21Z,30,30,5,19546,1720,1
2026-09-10T12:13:21Z,30,30,4,19550,1721,1
2026-09-10T12:13:21Z,30,30,7,19557,1722,1
2026-09-10T12:13:21Z,30,30,7,19564,1723,1
2026-09-10T12:13:21Z,30,30,5,19569,1724,1
2026-09-10T12:13:21Z,30,30,2,19571,1725,1
2026-09-10T12:13:21Z,30,30,2,19573,1726,1
2026-09-10T12:13:22Z,30,30,6,19579,1727,1
2026-09-10T12:13:22Z,30,30,5,19584,1728,1
2026-09-10T12:13:22Z,30,30,5,19589,1729,1
2026-09-10T12:13:22Z,30,30,6,19595,1730,1
2026-09-10T12:13:22Z,30,30,9,19604,1731,1
2026-09-10T12:13:22Z,30,30,5,19609,1732,1
2026-09-10T12:13:22Z,30,30,4,19613,1733,1
2026-09-10T12:13:22Z,30,30,5,19618,1734,1
2026-09-10T12:13:22Z,30,30,9,19627,1735,1
2026-09-10T12:13:22Z,30,30,14,19641,1736,1
2026-09-10T12:13:22Z,30,30,8,19649,1737,1
2026-09-10T12:13:22Z,30,30,2,19651,1738,1
2026-09-10T12:13:22Z,30,30,7,19658,1739,1
2026-09-10T12:13:22Z,30,30,4,19662,1740,1
2026-09-10T12:13:22Z,30,30,4,19666,1741,1
2026-09-10T12:13:22Z,30,30,1,19667,1742,1
2026-09-10T12:13:22Z,30,30,1,19668,1743,1
2026-09-10T12:13:22Z,30,30,15,19683,1744,1
