state loaded in 8s
resume: 32106 orbits, 3691 expanded, 1 skipped, 28414 queued; tight range 30..10845; workers 207
tight=30: 30 neighbors, +3 orbits, total 32109, expanded 3692
tight=30: 30 neighbors, +8 orbits, total 32117, expanded 3693
tight=30: 30 neighbors, +8 orbits, total 32125, expanded 3694
tight=30: 30 neighbors, +2 orbits, total 32127, expanded 3695
tight=30: 30 neighbors, +8 orbits, total 32135, expanded 3696
tight=30: 30 neighbors, +3 orbits, total 32138, expanded 3697
tight=30: 30 neighbors, +11 orbits, total 32149, expanded 3698
tight=30: 30 neighbors, +8 orbits, total 32157, expanded 3699
tight=30: 30 neighbors, +12 orbits, total 32169, expanded 3700
tight=30: 30 neighbors, +5 orbits, total 32174, expanded 3701
tight=30: 30 neighbors, +5 orbits, total 32179, expanded 3702
tight=30: 30 neighbors, +4 orbits, total 32183, expanded 3703
tight=30: 30 neighbors, +5 orbits, total 32188, expanded 3704
tight=30: 30 neighbors, +5 orbits, total 32193, expanded 3705
tight=30: 30 neighbors, +4 orbits, total 32197, expanded 3706
tight=30: 30 neighbors, +11 orbits, total 32208, expanded 3707
tight=30: 30 neighbors, +4 orbits, total 32212, expanded 3708
tight=30: 30 neighbors, +5 orbits, total 32217, expanded 3709
tight=30: 30 neighbors, +4 orbits, total 32221, expanded 3710
tight=30: 30 neighbors, +2 orbits, total 32223, expanded 3711
tight=30: 30 neighbors, +7 orbits, total 32230, expanded 3712
tight=30: 30 neighbors, +6 orbits, total 32236, expanded 3713
tight=30: 30 neighbors, +8 orbits, total 32244, expanded 3714
tight=30: 30 neighbors, +4 orbits, total 32248, expanded 3715
tight=30: 30 neighbors, +6 orbits, total 32254, expanded 3716
tight=30: 30 neighbors, +5 orbits, total 32259, expanded 3717
tight=30: 30 neighbors, +8 orbits, total 32267, expanded 3718
tight=30: 30 neighbors, +6 orbits, total 32273, expanded 3719
tight=30: 30 neighbors, +9 orbits, total 32282, expanded 3720
tight=30: 30 neighbors, +2 orbits, total 32284, expanded 3721
tight=30: 30 neighbors, +4 orbits, total 32288, expanded 3722
tight=30: 30 neighbors, +7 orbits, total 32295, expanded 3723
tight=30: 30 neighbors, +10 orbits, total 32305, expanded 3724
tight=30: 30 neighbors, +3 orbits, total 32308, expanded 3725
tight=30: 30 neighbors, +4 orbits, total 32312, expanded 3726
tight=30: 30 neighbors, +3 orbits, total 32315, expanded 3727
tight=30: 30 neighbors, +8 orbits, total 32323, expanded 3728
tight=30: 30 neighbors, +8 orbits, total 32331, expanded 3729
tight=30: 30 neighbors, +9 orbits, total 32340, expanded 3730
tight=30: 30 neighbors, +2 orbits, total 32342, expanded 3731
tight=30: 30 neighbors, +5 orbits, total 32347, expanded 3732
tight=30: 30 neighbors, +6 orbits, total 32353, expanded 3733
tight=30: 30 neighbors, +5 orbits, total 32358, expanded 3734
tight=30: 30 neighbors, +6 orbits, total 32364, expanded 3735
tight=30: 30 neighbors, +5 orbits, total 32369, expanded 3736
tight=30: 30 neighbors, +7 orbits, total 32376, expanded 3737
tight=30: 30 neighbors, +5 orbits, total 32381, expanded 3738
tight=30: 30 neighbors, +6 orbits, total 32387, expanded 3739
tight=30: 30 neighbors, +7 orbits, total 32394, expanded 3740
tight=30: 30 neighbors, +6 orbits, total 32400, expanded 3741
tight=30: 30 neighbors, +5 orbits, total 32405, expanded 3742
tight=30: 30 neighbors, +14 orbits, total 32419, expanded 3743
tight=30: 30 neighbors, +7 orbits, total 32426, expanded 3744
tight=30: 30 neighbors, +6 orbits, total 32432, expanded 3745
tight=30: 30 neighbors, +4 orbits, total 32436, expanded 3746
tight=30: 30 neighbors, +5 orbits, total 32441, expanded 3747
tight=30: 30 neighbors, +2 orbits, total 32443, expanded 3748
tight=30: 30 neighbors, +2 orbits, total 32445, expanded 3749
tight=30: 30 neighbors, +7 orbits, total 32452, expanded 3750
tight=30: 30 neighbors, +0 orbits, total 32452, expanded 3751
tight=30: 30 neighbors, +4 orbits, total 32456, expanded 3752
tight=30: 30 neighbors, +4 orbits, total 32460, expanded 3753
tight=30: 30 neighbors, +10 orbits, total 32470, expanded 3754
tight=30: 30 neighbors, +1 orbits, total 32471, expanded 3755
tight=30: 30 neighbors, +8 orbits, total 32479, expanded 3756
tight=30: 30 neighbors, +10 orbits, total 32489, expanded 3757
tight=30: 30 neighbors, +6 orbits, total 32495, expanded 3758
tight=30: 30 neighbors, +5 orbits, total 32500, expanded 3759
tight=30: 30 neighbors, +3 orbits, total 32503, expanded 3760
tight=30: 30 neighbors, +9 orbits, total 32512, expanded 3761
tight=30: 30 neighbors, +11 orbits, total 32523, expanded 3762
tight=30: 30 neighbors, +4 orbits, total 32527, expanded 3763
tight=30: 30 neighbors, +1 orbits, total 32528, expanded 3764
tight=30: 30 neighbors, +10 orbits, total 32538, expanded 3765
tight=30: 30 neighbors, +5 orbits, total 32543, expanded 3766
tight=30: 30 neighbors, +11 orbits, total 32554, expanded 3767
tight=30: 30 neighbors, +8 orbits, total 32562, expanded 3768
tight=30: 30 neighbors, +6 orbits, total 32568, expanded 3769
tight=30: 30 neighbors, +4 orbits, total 32572, expanded 3770
tight=30: 30 neighbors, +10 orbits, total 32582, expanded 3771
tight=30: 30 neighbors, +8 orbits, total 32590, expanded 3772
tight=30: 30 neighbors, +10 orbits, total 32600, expanded 3773
tight=30: 30 neighbors, +13 orbits, total 32613, expanded 3774
tight=30: 30 neighbors, +2 orbits, total 32615, expanded 3775
tight=30: 30 neighbors, +7 orbits, total 32622, expanded 3776
tight=30: 30 neighbors, +18 orbits, total 32640, expanded 3777
tight=30: 30 neighbors, +5 orbits, total 32645, expanded 3778
tight=30: 30 neighbors, +6 orbits, total 32651, expanded 3779
tight=30: 30 neighbors, +1 orbits, total 32652, expanded 3780
tight=30: 30 neighbors, +8 orbits, total 32660, expanded 3781
tight=30: 30 neighbors, +9 orbits, total 32669, expanded 3782
tight=30: 30 neighbors, +5 orbits, total 32674, expanded 3783
tight=30: 30 neighbors, +6 orbits, total 32680, expanded 3784
tight=30: 30 neighbors, +3 orbits, total 32683, expanded 3785
tight=30: 30 neighbors, +8 orbits, total 32691, expanded 3786
tight=30: 30 neighbors, +9 orbits, total 32700, expanded 3787
tight=30: 30 neighbors, +7 orbits, total 32707, expanded 3788
tight=30: 30 neighbors, +7 orbits, total 32714, expanded 3789
tight=30: 30 neighbors, +13 orbits, total 32727, expanded 3790
tight=30: 30 neighbors, +3 orbits, total 32730, expanded 3791
tight=30: 30 neighbors, +2 orbits, total 32732, expanded 3792
tight=30: 30 neighbors, +1 orbits, total 32733, expanded 3793
tight=30: 30 neighbors, +3 orbits, total 32736, expanded 3794
tight=30: 30 neighbors, +9 orbits, total 32745, expanded 3795
tight=30: 30 neighbors, +5 orbits, total 32750, expanded 3796
tight=30: 30 neighbors, +11 orbits, total 32761, expanded 3797
tight=30: 30 neighbors, +5 orbits, total 32766, expanded 3798
tight=30: 30 neighbors, +6 orbits, total 32772, expanded 3799
tight=30: 30 neighbors, +4 orbits, total 32776, expanded 3800
tight=30: 30 neighbors, +5 orbits, total 32781, expanded 3801
tight=30: 30 neighbors, +4 orbits, total 32785, expanded 3802
tight=30: 30 neighbors, +7 orbits, total 32792, expanded 3803
tight=30: 30 neighbors, +8 orbits, total 32800, expanded 3804
tight=30: 30 neighbors, +6 orbits, total 32806, expanded 3805
tight=30: 30 neighbors, +11 orbits, total 32817, expanded 3806
tight=30: 30 neighbors, +6 orbits, total 32823, expanded 3807
tight=30: 30 neighbors, +11 orbits, total 32834, expanded 3808
tight=30: 30 neighbors, +4 orbits, total 32838, expanded 3809
tight=30: 30 neighbors, +6 orbits, total 32844, expanded 3810
tight=30: 30 neighbors, +11 orbits, total 32855, expanded 3811
tight=30: 30 neighbors, +4 orbits, total 32859, expanded 3812
tight=30: 30 neighbors, +7 orbits, total 32866, expanded 3813
tight=30: 30 neighbors, +12 orbits, total 32878, expanded 3814
tight=30: 30 neighbors, +6 orbits, total 32884, expanded 3815
tight=30: 30 neighbors, +5 orbits, total 32889, expanded 3816
tight=30: 30 neighbors, +4 orbits, total 32893, expanded 3817
tight=30: 30 neighbors, +7 orbits, total 32900, expanded 3818
tight=30: 30 neighbors, +5 orbits, total 32905, expanded 3819
tight=30: 30 neighbors, +11 orbits, total 32916, expanded 3820
tight=30: 30 neighbors, +6 orbits, total 32922, expanded 3821
tight=30: 30 neighbors, +0 orbits, total 32922, expanded 3822
tight=30: 30 neighbors, +11 orbits, total 32933, expanded 3823
tight=30: 30 neighbors, +6 orbits, total 32939, expanded 3824
tight=30: 30 neighbors, +6 orbits, total 32945, expanded 3825
